User Input,Chatbot Response,Timestamp
hi,I am fine how can I assist you?,2025-01-05 14:45:26
how are you ,I can answer questions and provide assistance,2025-01-05 14:46:02
how are you,My purpose is to assist you,2025-01-05 15:21:26
what is my credit score,"A credit score is a number that represents your creditworthiness. It is based on your credit history and is used by lenders to determine whether or not to lend you money. The higher your credit score, the more likely you are to be approved for credit.",2025-01-05 15:21:55
budget,"To create a budget, start by setting financial goals for yourself. Then, track your income and expenses for a few months to get a sense of where your money is going. Next, create a budget by allocating your income towards essential expenses, savings and debt repayment, and discretionary expenses.",2025-01-05 15:30:51
credit score,You can check your credit score for free on several websites such as Credit Karma and Credit Sesame.,2025-01-05 15:31:01
hi,Hi How can I assist you?,2025-01-05 15:31:06
fine,Take care,2025-01-05 15:31:13
bye,Take care,2025-01-05 15:31:19
good bye,Goodbye,2025-01-05 15:31:26
